Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
RAM,CMK8GX4M1A2400C16R,Corsair,Vengeance LPX DDR4 2400 C16 1x8GB,97,42.3,27779,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
RAM,CT16G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x16GB,98,41.8,1263,https://ram.userbenchmark.com/SpeedTest/228105/Crucial-CT16G4DFD824AC16FAD-1x16GB
RAM,CT8G4DFD824A,Crucial,UDIMM DDR4 2400 C16 1x8GB,99,41.8,2811,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB
RAM,HX421C14FB/8,HyperX,Fury DDR4 2133 C14 1x8GB,100,40.1,11654,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555
RAM,CT4G4DFS824A,Crucial,UDIMM DDR4 2400 C17 1x4GB,101,39.6,2983,https://ram.userbenchmark.com/SpeedTest/372497/Crucial-CT4G4DFS824AC8FHP-1x4GB
RAM,CMK8GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x8GB,102,39.3,13029,https://ram.userbenchmark.com/SpeedTest/89446/Corsair-Vengeance-LPX-CMK8GX4M1A2400C14-1x8GB
RAM,CMK4GX4M1A2400C14,Corsair,Vengeance LPX DDR4 2400 C14 1x4GB,103,39.3,590,https://ram.userbenchmark.com/SpeedTest/97522/Corsair-Vengeance-LPX-CMK4GX4M1A2400C14-1x4GB
RAM,CMV4GX4M1A2133C15,Corsair,ValueSelect DDR4 2133 C15 1x4GB,104,37.7,825,https://ram.userbenchmark.com/SpeedTest/96727/Corsair-ValueSelect-CMV4GX4M1A2133C15-1x4GB
RAM,F4-2133C15S-4GNT,G.SKILL,Value DDR4 2133 C15 1x4GB,105,37.7,370,https://ram.userbenchmark.com/SpeedTest/109263/GSKILL-F4-2133C15-4GNT-1x4GB
RAM,CMZ8GX3M1A1600C10,Corsair,Vengeance DDR3 1600 C10 1x8GB,106,31.2,7560,https://ram.userbenchmark.com/SpeedTest/89201/Corsair-Vengeance-CMZ8GX3M1A1600C10-1x8GB
RAM,F3-12800CL9S-4GBRL,G.SKILL,Ripjaws DDR3 1600 C9 1x4GB,107,29.1,562,https://ram.userbenchmark.com/SpeedTest/90810/GSKILL-F3-12800CL9-4GBRL-1x4GB
RAM,F3-12800CL10S-8GBXL,G.SKILL,RipjawsX DDR3 1600 C10 1x8GB,108,27.9,3013,https://ram.userbenchmark.com/SpeedTest/89412/GSKILL-F3-12800CL10-8GBXL-1x8GB
